"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_Radial_D4.0mm_H7.0mm_P1.50mm";1;"100uF";;;
2;"C2, C3, C6, C16";"C_Radial_D5.0mm_H5.0mm_P2.00mm";4;"10uF";;;
3;"C4";"C_Radial_D5.0mm_H5.0mm_P2.00mm";1;"1uF";;;
4;"C5, C15, C18, C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
5;"C7, C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"100nF";;;
6;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
7;"C9, C10, C11, C14, C17";"C_0603_1608Metric";5;"100nF";;;
8;"C12";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10uF";;;
9;"D1, D2, D9, D10";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"LED";;;
10;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"PWR_IN";;;
11;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"DEBUG";;;
12;"J3";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Nextion";;;
13;"J4";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"CAN";;;
14;"J5";"PinSocket_1x06_P2.54mm_Vertical";1;"SD_CARD MODULE";;;
15;"J6";"PinSocket_1x04_P2.54mm_Horizontal";1;"LORA";;;
16;"J7";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"IN1";;;
17;"J8";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"IN2";;;
18;"J9";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"GND";;;
19;"J10";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Headlights";;;
20;"J11";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Blinker";;;
21;"J12";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Stop";;;
22;"Q4, Q5";"SOT-23";2;"BC817";;;
23;"R1, R2, R16, R17";"R_0805_2012Metric";4;"1k";;;
24;"R3, R6, R7, R8, R9";"R_0805_2012Metric";5;"10k";;;
25;"R4";"R_0805_2012Metric";1;"100R";;;
26;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"47R";;;
27;"R10, R11, R13, R14, R15";"R_0805_2012Metric";5;"4k7";;;
28;"R19, R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7K";;;
29;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9";"TestPoint_Pad_D1.0mm";9;"TestPoint";;;
30;"U1";"TO-220-3_Vertical";1;"L7805";;;
31;"U2";"SOT-223-3_TabPin2";1;"LM1117MP-3.3";;;
32;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TJA1051T-3";;;
33;"U5, U6, U7, U8, U9";"TO-263-4";5;"BTS432";;;
34;"U10";"LQFP-48_7x7mm_P0.5mm";1;"STM32G431C8Tx";;;
